Delta ID,Latitude,Longitude,Tidal range (m),Permafrost classification with ice content,Distance to nearest community (m),Canadian geographic name,Language spoken,Name of region in original language,Community type,Province
NWA1_G209,76.232321,-113.407689,0.29,Continuous permafrost with medium ground ice content (10% to 20%),545528.2908,Resolute,Undetermined, ,Hamlet,Nunavut
NWA1_G210,76.266279,-113.017635,0.3,Continuous permafrost with medium ground ice content (10% to 20%),535947.8466,Resolute,Undetermined, ,Hamlet,Nunavut
NWA1_G211,76.205125,-112.739093,0.3,Continuous permafrost with medium ground ice content (10% to 20%),527485.2428,Resolute,Undetermined, ,Hamlet,Nunavut
NWA2_A1,73.391,-124.388684,0.19,Continuous permafrost with high ground ice content (>20%),159301.5237,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A2,73.571652,-124.027411,0.18,Continuous permafrost with high ground ice content (>20%),181425.53,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A3,73.696783,-123.92449,0.18,Continuous permafrost with high ground ice content (>20%),195760.8002,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A4,74.025689,-124.330965,0.19,Continuous permafrost with high ground ice content (>20%),229509.0047,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A5,74.085941,-124.415656,0.19,Continuous permafrost with high ground ice content (>20%),235837.9387,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A6,74.154729,-124.406815,0.2,Continuous permafrost with high ground ice content (>20%),243491.6399,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A7,74.444414,-123.227865,0.3,Continuous permafrost with high ground ice content (>20%),281887.4094,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A8,74.455402,-122.862899,0.32,Continuous permafrost with high ground ice content (>20%),285998.6008,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A9,74.489504,-122.208419,0.32,Continuous permafrost with high to medium ground ice content (10% to >20%),295902.7165,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A10,74.527451,-121.918531,0.35,Continuous permafrost with high to medium ground ice content (10% to >20%),303018.2616,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A11,74.388422,-120.686323,0.48,Continuous permafrost with high to medium ground ice content (10% to >20%),305699.1902,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A12,74.374463,-120.638307,0.48,Continuous permafrost with high to medium ground ice content (10% to >20%),305115.1966,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A13,74.317944,-120.313908,0.49,Continuous permafrost with high to medium ground ice content (10% to >20%),305084.4608,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A14,74.281468,-120.11787,0.49,Continuous permafrost with high to medium ground ice content (10% to >20%),305110.0499,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A15,74.272781,-120.011737,0.5,Continuous permafrost with high to medium ground ice content (10% to >20%),306203.4103,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A16,74.274134,-119.95218,0.5,Continuous permafrost with high to medium ground ice content (10% to >20%),307392.8404,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A17,74.15154,-119.654173,0.52,Continuous permafrost with high to medium ground ice content (10% to >20%),302206.0197,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A18,74.06856,-118.853657,0.52,Continuous permafrost with high to medium ground ice content (10% to >20%),311853.8336,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A19,74.15719,-118.854151,0.52,Continuous permafrost with high to medium ground ice content (10% to >20%),318914.993,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A20,74.268663,-117.872561,0.6,Continuous permafrost with high to medium ground ice content (10% to >20%),348857.7222,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A21,74.258308,-117.7414,0.6,Continuous permafrost with high to medium ground ice content (10% to >20%),350982.245,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A22,74.24916,-117.62687,0.63,Continuous permafrost with high to medium ground ice content (10% to >20%),352866.5448,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A23,74.228036,-117.405704,0.63,Continuous permafrost with high to medium ground ice content (10% to >20%),356349.8551,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A24,74.046697,-116.766742,0.78,Continuous permafrost with high to medium ground ice content (10% to >20%),359184.6105,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A25,74.011881,-116.658104,0.78,Continuous permafrost with high to medium ground ice content (10% to >20%),359676.5949,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA2_A26,73.886387,-116.329187,0.78,Continuous permafrost with high to medium ground ice content (10% to >20%),354848.8824,Ulukhaktok,"Inuinnaqtun, Western Canadian Inuktitut", ,Hamlet,Northwest Territories
NWA2_A27,73.872065,-116.296993,0.78,Continuous permafrost with high to medium ground ice content (10% to >20%),353420.5156,Ulukhaktok,"Inuinnaqtun, Western Canadian Inuktitut", ,Hamlet,Northwest Territories
NWA2_A28,73.749662,-115.95655,0.8,Continuous permafrost with high to medium ground ice content (10% to >20%),341820.5609,Ulukhaktok,"Inuinnaqtun, Western Canadian Inuktitut", ,Hamlet,Northwest Territories
NWA2_A29,73.669553,-115.658889,0.81,Continuous permafrost with high to medium ground ice content (10% to >20%),335082.1843,Ulukhaktok,"Inuinnaqtun, Western Canadian Inuktitut", ,Hamlet,Northwest Territories
NWA2_A30,73.481385,-115.329645,0.81,Continuous permafrost with high to medium ground ice content (10% to >20%),317469.6009,Ulukhaktok,"Inuinnaqtun, Western Canadian Inuktitut", ,Hamlet,Northwest Territories
NWA2_A31,73.431731,-115.468335,0.81,Continuous permafrost with high to medium ground ice content (10% to >20%),310920.0411,Ulukhaktok,"Inuinnaqtun, Western Canadian Inuktitut", ,Hamlet,Northwest Territories
NWA2_A32,73.386324,-115.639426,0.81,Continuous permafrost with high to medium ground ice content (10% to >20%),304586.1107,Ulukhaktok,"Inuinnaqtun, Western Canadian Inuktitut", ,Hamlet,Northwest Territories
NWA2_A33,73.362186,-115.740063,0.81,Continuous permafrost with high to medium ground ice content (10% to >20%),301165.7713,Ulukhaktok,"Inuinnaqtun, Western Canadian Inuktitut", ,Hamlet,Northwest Territories
NWA2_A34,73.345389,-115.811379,0.81,Continuous permafrost with high to medium ground ice content (10% to >20%),298789.1349,Ulukhaktok,"Inuinnaqtun, Western Canadian Inuktitut", ,Hamlet,Northwest Territories
NWA2_A35,73.283524,-116.242046,0.6,Continuous permafrost with high to medium ground ice content (10% to >20%),289033.4239,Ulukhaktok,"Inuinnaqtun, Western Canadian Inuktitut", ,Hamlet,Northwest Territories
NWA2_A36,73.259508,-116.426218,0.5,Continuous permafrost with high to medium ground ice content (10% to >20%),285307.3601,Ulukhaktok,"Inuinnaqtun, Western Canadian Inuktitut", ,Hamlet,Northwest Territories
NWA2_A37,73.186361,-116.753613,0.5,Continuous permafrost with high to medium ground ice content (10% to >20%),275605.9261,Ulukhaktok,"Inuinnaqtun, Western Canadian Inuktitut", ,Hamlet,Northwest Territories
NWA3_G2,72.86901,-110.547655,1.03,Continuous permafrost with high to medium ground ice content (10% to >20%),346103.7267,Ulukhaktok,"Inuinnaqtun, Western Canadian Inuktitut", ,Hamlet,Northwest Territories
NWA3_G3,72.723424,-109.733648,1.03,Continuous permafrost with low ground ice content (<10%),357739.0929,Ulukhaktok,"Inuinnaqtun, Western Canadian Inuktitut", ,Hamlet,Northwest Territories
NWA3_G4,72.711526,-109.788893,1.03,Continuous permafrost with low ground ice content (<10%),355476.8479,Ulukhaktok,"Inuinnaqtun, Western Canadian Inuktitut", ,Hamlet,Northwest Territories
NWA3_G5,72.667777,-109.794885,1.03,Continuous permafrost with low ground ice content (<10%),352574.9886,Ulukhaktok,"Inuinnaqtun, Western Canadian Inuktitut", ,Hamlet,Northwest Territories
NWA3_G6,72.661273,-109.792535,1.03,Continuous permafrost with low ground ice content (<10%),352236.9967,Ulukhaktok,"Inuinnaqtun, Western Canadian Inuktitut", ,Hamlet,Northwest Territories
NWA3_G7,72.283073,-111.014847,1.04,Continuous permafrost with low ground ice content (<10%),294741.6981,Ulukhaktok,"Inuinnaqtun, Western Canadian Inuktitut", ,Hamlet,Northwest Territories
NWA3_G8,72.683724,-111.279376,1.02,Continuous permafrost with high to medium ground ice content (10% to >20%),314279.4163,Ulukhaktok,"Inuinnaqtun, Western Canadian Inuktitut", ,Hamlet,Northwest Territories
NWA3_G9,72.806054,-111.613316,1,Continuous permafrost with high to medium ground ice content (10% to >20%),315292.827,Ulukhaktok,"Inuinnaqtun, Western Canadian Inuktitut", ,Hamlet,Northwest Territories
NWA3_G10,72.813293,-111.663813,1,Continuous permafrost with high to medium ground ice content (10% to >20%),314663.0728,Ulukhaktok,"Inuinnaqtun, Western Canadian Inuktitut", ,Hamlet,Northwest Territories
NWA3_G11,72.849222,-111.851867,1,Continuous permafrost with high to medium ground ice content (10% to >20%),313138.9351,Ulukhaktok,"Inuinnaqtun, Western Canadian Inuktitut", ,Hamlet,Northwest Territories
